Key,Type,Desc,中文 [zh],English,Japanese
Card_Info/,Text,,,,
Card_Info/1,Text,,"唤出一把飞剑对目标单位造成<Demage>
【飞剑：2】消耗2把飞剑执行一次【自身抽牌】(手牌已满时，不触发)","Summon a flying sword to deal <Demage> to the target. 
[Flying Swords: 2] Consume 2 swords to perform a [Self Draw] (not trigger if hand is full)","飛剣を召喚してターゲットに<Demage>を与える。
「飛剣：2」飛剣を2本消費して「単体ドロー」を1回実行する（手札数が上限に達しているときは発動しない）。"
Card_Info/10,Text,,"生成<#SwordCount#>把【飞剑】，每把对指定单位造成<Demage>。
【飞剑：5】造成伤害提高<$DemageUp$>%，生成【飞剑】+<#SwordCount2#>","Spawn <#SwordCount#> [Flying Swords]. Each sword deals <Demage> to the target.
[Flying Swords: 5] +<$DemageUp$>% damage dealt. [Flying Swords] Spawned + <#SwordCount2#>","<#SwordCount#>本の「飛剣」を召喚して、1本ごとにターゲットに<Demage>を与える。
「飛剣：5」：与えるダメージが<$DemageUp$>%増加し、召喚する「飛剣」+<#SwordCount2#>。"
Card_Info/100,Text,,惠风和畅，暖日助眠，所有己方单位回复<Demage>，每回合第一次使用时抽取一张《惊蛰》加入手牌,"Gentle breeze and soothing sun aid sleep. Restore <Demage> to all allied units. The first time this card is used each turn, draw 1 <Awakening of Insects> to hand",すべての味方ユニットが<Demage>回復する。各ターンで初めて使用するときに『啓蟄』を1枚ドローして手札に加える。
Card_Info/10001,Text,,唤出一把飞剑对目标单位造成<Demage>,Summon a flying sword to deal <Demage> to the target,飛剣を召喚してターゲットに<Demage>を与える。
Card_Info/10002,Text,,呼唤至多<#FlySwordCount#>把己方飞剑攻击随机敌人，每把飞剑造成<Demage>（不消耗飞剑）,Call forth up to <#FlySwordCount#> allied flying swords to attack random enemies. Each sword deals <Demage> (Does not consume the flying swords),味方の飛剣を最大<#FlySwordCount#>本まで操り、ランダムな敵を攻撃する。1本ごとに<Demage>を与える（飛剣を消費しない）。
Card_Info/10006,Text,,呼唤四散的风，为目标及左右单位回复<Demage>，并解除所有负面状态,"Call forth the scattered winds. Restore <Demage> HP for the target and adjacent units, and remove all debuffs",飛び舞う風を召喚して、ターゲットとその隣接ユニットの<Demage>を回復し、すべてのデバフを解除する。
Card_Info/10007,Text,,"喷射烟火弹，对指定单位造成<Demage>。【龙威】+<#BuffCount#>
自身每层【龙威】伤害提高<$DemageUp$>%","Shoot a Firework Bolt to deal <Demage> to the target. [Dragon's Presence] +<#BuffCount#>
Each stack of [Dragon's Presence] +<$DemageUp$>% damage","煙火弾を発射し、ターゲットに<Demage>を与える。「龍威」+<#BuffCount#>。
自身に付与されている「龍威」1スタックごとにダメージが<$DemageUp$>%増加する。"
Card_Info/10009,Text,,召唤雷电，对目标造成<Demage>。并【眩晕】,Summon lightning to deal <Demage> to the target. Inflict [Stun],雷を召喚して、ターゲットに<Demage>を与え、「スタン」を付与する。
Card_Info/1001,Text,,对指定单位造成100%最大生命值的真实伤害（对boss为35%）,Deal True Damage equal to 100% of the target's Max HP (35% against bosses),ターゲットに体力上限の100%分の真実ダメージを与える（ボスに対しては35%）。
